City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Norilsk,69.3535,88.2027,-22.11,97,95,6.71,RU,2022-02-17 02:16:09
82,Camana,-16.6228,-72.7111,71.96,79,100,5.39,PE,2022-02-17 02:16:10
83,Kununurra,-15.7667,128.7333,91.38,55,71,3.44,AU,2022-02-17 02:14:36
84,Villa Maria,-32.4075,-63.2402,67.82,88,2,4.74,AR,2022-02-17 02:16:10
85,Flin Flon,54.7682,-101.865,-21.98,98,55,4.36,CA,2022-02-17 02:16:11
86,Nzega,-2.479,29.5564,53.74,88,100,3.76,RW,2022-02-17 02:16:11
87,Bodden Town,19.2833,-81.25,78.01,77,20,6.91,KY,2022-02-17 02:16:12
88,Cotonou,6.3654,2.4183,82.38,89,40,10.36,BJ,2022-02-17 02:16:12
89,Kashi,39.4547,75.9797,31.21,43,75,8.95,CN,2022-02-17 02:16:12
90,Castro,-24.7911,-50.0119,59.52,88,75,2.46,BR,2022-02-17 02:12:27
91,Mahebourg,-20.4081,57.7,79.09,89,75,9.22,MU,2022-02-17 02:12:18
92,Labuhan,-6.8844,112.2051,79.09,87,100,5.28,ID,2022-02-17 02:16:13
93,Atambua,-9.1061,124.8925,82.87,62,5,1.21,ID,2022-02-17 02:12:00
94,Nemuro,43.3236,145.575,27.41,68,100,17.25,JP,2022-02-17 02:11:41
95,Jurilovca,44.7667,28.8667,38.01,92,45,9.95,RO,2022-02-17 02:16:14
96,Leningradskiy,69.3833,178.4167,-21.6,98,47,5.35,RU,2022-02-17 02:14:12
97,Alice Springs,-23.7,133.8833,96.22,43,0,9.22,AU,2022-02-17 02:11:11
98,Isiro,2.7739,27.616,62.47,96,66,1.99,CD,2022-02-17 02:16:15
99,Puerto Carreno,6.189,-67.4859,84.49,47,100,12.15,CO,2022-02-17 02:10:12
100,Dois Vizinhos,-25.7336,-53.0572,65.77,77,0,3.49,BR,2022-02-17 02:11:48
101,Dunedin,-45.8742,170.5036,66.79,62,0,14.0,NZ,2022-02-17 02:11:45
102,Paamiut,61.994,-49.6678,-4.13,91,75,13.09,GL,2022-02-17 02:14:48
103,Ushtobe,45.2514,77.9838,2.3,91,61,6.4,KZ,2022-02-17 02:16:16
104,Ponta Do Sol,32.6667,-17.1,62.06,71,10,6.17,PT,2022-02-17 02:13:29
105,Namatanai,-3.6667,152.4333,84.49,71,95,5.35,PG,2022-02-17 02:13:08
106,Pevek,69.7008,170.3133,-27.78,99,100,5.66,RU,2022-02-17 02:12:16
107,Puerto Ayora,-0.7393,-90.3518,75.7,82,100,6.17,EC,2022-02-17 02:11:54
108,Nikolskoye,59.7035,30.7861,36.88,96,100,16.49,RU,2022-02-17 02:12:09
109,Saint-Augustin,51.226,-58.6502,2.52,88,100,6.02,CA,2022-02-17 02:13:07
110,Manokwari,-0.8667,134.0833,81.01,81,100,9.51,ID,2022-02-17 02:16:18
111,Tibagi,-24.5094,-50.4136,62.37,96,55,2.15,BR,2022-02-17 02:16:18
112,Freital,51.0017,13.6488,59.38,68,75,31.07,DE,2022-02-17 02:16:19
113,Hilo,19.7297,-155.09,74.93,85,100,11.5,US,2022-02-17 02:09:17
114,Thompson,55.7435,-97.8558,-17.37,93,44,6.69,CA,2022-02-17 02:14:15
115,Saldanha,-33.0117,17.9442,60.62,79,0,13.38,ZA,2022-02-17 02:13:30
116,Portland,45.5234,-122.6762,51.46,83,100,4.61,US,2022-02-17 02:13:34
117,Tukrah,32.5341,20.5791,54.48,67,73,11.63,LY,2022-02-17 02:16:20
118,Rudnyy,52.9594,63.1206,5.23,93,58,7.78,KZ,2022-02-17 02:16:21
119,Cauquenes,-35.9671,-72.3225,65.91,48,0,5.48,CL,2022-02-17 02:16:21
120,Assiniboia,49.6334,-105.9845,8.51,71,100,3.44,CA,2022-02-17 02:16:22
